Theme	Parent	Definition	Example	References
birth control	past and present moral controversy	We are asked what, if any, birth control methods are acceptable.	The People of Gideon, the Space Catholics, were fundamentally opposed to using birth control as a means to solve their over-population crisis in tos3x17 "The Mark of Gideon".	https://en.wikipedia.org/wiki/Birth_control
black hole	what's out there	A region of space exhibiting such strong gravitational effects that nothing (not even particles and electromagnetic radiation such as light) can escape from inside it.		https://en.wikipedia.org/wiki/Black_hole, http://www.sf-encyclopedia.com/entry/black_holes
black hole dwelling alien	inhospitable environment dwelling life form	Aliens that live in black holes, i.e., in stellar bodies so dense and heavy that not even light can escape their gravitational pull. This is not to be confused with black aliens who dwell in holes.	Extradimensional aliens used a Romulan ship’s quantum singularity engine as a nursery, mistaking it for the kind of black hole in which they normally dwell, in tng6x25 "Timescape".	
black sheep	growing up	Someone is regarded as the family disgrace because of their uncouth or criminal ways.	Lore was the family disgrace in the eyes of his goody two-shoes brother Data in tng1x13 "Datalore".	https://en.wikipedia.org/wiki/Black_sheep
bliss	pleasant emotion	A character exhibits a feeling of euphoric but serene happiness.		
blond ditziness	female stereotype	A pretty, young, blonde woman is acting silly to the extent that the sexist stereotype is apparent.	Gary Seven’s secretary, Roberta Lincoln, epitomized the ditzy blonde stereotype in tos2x26 "Assignment: Earth".	http://tvtropes.org/pmwiki/pmwiki.php/Main/DUMBBLONDE
bluffing	one-on-one interaction	A character insinuates they will do something that they in fact cannot or will not do, thereby deceiving someone else.		
booby trap	the art of war	The use of concealed deadly devices, such as land mines, to gain advantage in warfare is featured.	The Enterprise-D fell afoul of a leftover booby trap from some ancient alien war in tng3x06 "Booby Trap". It filled much the same function as a naval mine, but in space.	https://en.wikipedia.org/wiki/Booby_trap
boredom	unpleasant emotion	Someone feels compelled to give attention to something or someone for which they have contempt or disinterest, but do not feel "disgust" over.	Reading the 20th century novel "Hotel Royale" bored Captain Picard nearly to death in tng2x12 "The Royale".	https://en.wikipedia.org/wiki/Boredom
botanical plague	force majeure existential risk	A biological agent or pathogen wipes out a significant amount of plant-life on a planet and the dependent civilization collapses.	Captain Kirk had to pick up zenite consignment in order to stop such a plague on Merak II in tos3x19 "The Cloud Minders".	
brain disembodiment technology	human enhancement	Technology by which a brain can be taken out of the body and maintained in a functioning state for an extended amount of time.	The Morg of Sigma Draconis VI used such technology to steal Spock’s big and sexy brain in tos3x06 "Spock's Brain".	https://en.wikipedia.org/wiki/Brain_in_a_vat, http://www.sf-encyclopedia.com/entry/brain_in_a_box
brains vs. brawn	the art of war	A clever person is pitted against a physically powerful opponent in a fight and we wonder which of these qualities is more important for victory.	Captain Kirk was pitted in an epic battle of agility and brains vs. brawn against a Gorn captain in tos1x19 "The Arena".	https://idioms.thefreedictionary.com/brains+versus+brawn
breaking with tradition vs. suicide	life choice	A character must decide what is more important to them: their own life or tradition.	Dr. Timicin was expected according to Kaelonian culture to commit suicide at the age of 65 in tng4x22 "Half a Life" and he had second thoughts before he caved to peer pressure.	
brinkmanship	the art of war	A tense military or political confrontation is brought beyond its safe limits for the dangerous purpose of gaining an advantage when the opponent, it is hoped, backs down first.		https://en.wikipedia.org/wiki/Brinkmanship
brother and brother	familial relations	The relationship between two brothers is featured.		
brother and sister	familial relations	The relationship between brother and sister is featured.	Serova and her brother Rabal fought loyally together to stop warp-speeding space ships from polluting the subspace near Hekaras II in tng7x09 "Force of Nature".	
bullying	contemporary social issue	The ramifications of bullying in society are explored.		https://en.wikipedia.org/wiki/Bullying https://en.wikipedia.org/wiki/Cyberbullying
bureaucracy	contemporary social issue	The ramifications of excessive bureaucracy, too much paperwork and red tape, to society are explored.	The Gideoneans tried in vain to use bureaucratic tricks to stop Spock from finding Captain Kirk in tos3x17 "The Mark of Gideon".	https://en.wikipedia.org/wiki/Bureaucracy
calligraphy	the fine arts and the humanities	Decorative hadwriting is featured.	Keiko O'Brien fondly recalled having helped her grandmother to create Japanese calligraphic writings in tng5x12 "Violations".	
can machines have souls	metaphysics	The question is posed: Can a machine have that immaterial immortal component that believers call "the soul"?		https://en.wikipedia.org/wiki/Philosophy_of_artificial_intelligence#Can_a_machine_have_a_soul?
canine alien	earth-life inspired life form	An alien race patterned after dogs.	Natasha Yar was appalled to learn that the dog-like Anticans like to eat their food alive in tng1x07 "Lonely Among Us".	
capital punishment	past and present moral controversy	We are asked how and when, if ever, it is acceptable to punish a criminal by death.		https://en.wikipedia.org/wiki/Capital_punishment
captain and crew's attachment to their ship	human need	The human tendency to form strong bonds to ships we are in command of or serve on for some time, is illustrated.		
carpe diem	way of life	The wisdom of the old motto "seize the day" is illustrated, i.e., the idea that it is best for us to make the most of our time right away for who knows what tomorrow may bring.		https://en.wikipedia.org/wiki/Carpe_diem
carrot vs. stick	personal practical dilemma	Someone must decide, in a given situation, which approach is the better way to get another person to act as they should: the threat of consequence (the stick), or the promise of reward (the carrot).		https://en.wikipedia.org/wiki/Carrot_and_stick
caste system	social order	There is a system of hereditary social classes: one is born into a class and has little hope of ever changing it.		https://en.wikipedia.org/wiki/Caste
