Theme	ThemeID	ParentTheme	Tags	RelatedThemes	Definition	Example
coping with the death of a lover	1107	coping with death			Someone grieves over the loss of their spouse.	Worf howled over the body of his murdered spouse K'Ehleyr in tng4x07 “Reunion”.
coping with the death of a parent	245	coping with death			Someone in a position of command grieves over the death one of their subordinates.	Captain Kirk mourned for crewman Hendorff, who was shot and killed by a pod plant on Gamma Trianguli VI in tos2x09 “The Apple” whilst wearing a red shirt.
coping with the death of a pet	1108	coping with death			Someone who communicates exclusively via a “chorus” of telepaths grieves over their deaths.	Not everyone is fortunate to have a chorus that speaks for them but those, like the famed mediator Riva in tng2x05 “Loud as a Whisper”, that do typically are distraught at the death of said chorus.
coping with the death of a sibling	779	coping with death			Someone in command of a vessel grieves over the loss of their entire crew.	Commodore Matt Decker mourned the loss of his crew to the Planet Eater in tos2x06 “The Doomsday Machine”.
coping with the death of a spouse	323	coping with death			Someone grieves over the death of their entire family.	In tng1x26 “The Neutral Zone”, Clare Raymond woke up from cryogenic preservation aboard the Enterprise-C only to be confronted by the stark realisation that everyone in her entire family from the 20th century was dead.
coping with the death of a subordinate	270	coping with death			Someone is morally compelled to oppose and jeopardize their friendship with someone who is acting badly.	Captain Kirk coped with opposing his longtime friend Gary Mitchell, who became an imminent danger to the crew after acquiring super powers, in tos1x01 "Where No Man Has Gone Before".
coping with the death of one's entire chorus	1109	coping with death			Someone has the undesirable duty to deliver very bad news, i.e., to inform of the death of kin.	Captain Picard had the unpleasant duty of informing Jeremy Aster that his mother Marla had died on an away mission in tng3x05 "The Bonding".
coping with the death of one's entire crew	780	coping with death		coping with the death of a pet	Someone has to euthanize a beloved but incurably injured pet.	Spock made the tough decision to put his pet sehlat out of its misery in tas1x02 “Yesteryear”.
coping with the death of one's entire family	1110	coping with death			Someone copes with the stress and pressure that comes with making a life-changing decision.	Wesley struggled with whether or not to quit Starfleet Academy to go galavanting around the galaxy with his friend the Traveler in tng7x20 "Journey's End".
coping with opposing a friend	455	coping with having to do something			Someone must come to terms with the fact that an event has drastically changed their living conditions and future prospects.	Captain Picard resigned to living out the remainder of his life as an alien on an unknown planet in tng5x25 “The Inner Light”.
delivering bad news	1121	coping with having to do something			Someone is burdened with their future role in this world being out of their own hands.	Salia was reluctant to be the predetermined ruler of Daled IV in tng2x10 "The Dauphin".
killing an injured pet	1219	coping with having to do something			Someone copes with heart-wrenching memories of a lover that they failed to entirely get over.	McCoy found himself in a "romantic haze" at the prospect of meeting his long-lost love Nancy on Planet M-113 In tos1x05 "The Man Trap".
struggling with a life-changing decision	266	coping with having to do something			Someone struggles with the realization that they will one day die.	Q was stripped of his transcendental powers, including immortality, by the Q Continuum in tng3x13 "Deja Q".
coping with a life-changing event	511	coping with life issues			Someone copes with the aftermath of having experienced a personal failure in life.	Wesley needed some words of encouragement from Captain Picard after he failed the Starfleet Academy entrance exam in tng1x19 "Coming of Age".
coping with having a predetermined life	774	coping with life issues			An ageing character copes with not being able to keep up with an ever-changing world.	Scotty coped with time having passed him by after Geordi found him suspended in a transporter pattern-buffer in tng6x05 "Relics".
