Theme	ThemeID	ParentTheme	Domain	RelatedThemes	Tags	Definition	Example
black hole dwelling alien	149	inhospitable environment dwelling life form	alternate reality		aliens	Aliens that live in black holes, i.e., in stellar bodies so dense and heavy that not even light can escape their gravitational pull. This is not to be confused with black aliens who dwell in holes.	Extradimensional aliens used a Romulan ship’s quantum singularity engine as a nursery, mistaking it for the kind of black hole in which they normally dwell, in tng6x25 "Timescape".
black sheep	150	growing up	the human condition		juvenile	Someone is regarded as the family disgrace because of their uncouth or criminal ways.	Lore was the family disgrace in the eyes of his goody two-shoes brother Data in tng1x13 "Datalore".
bliss	151	pleasant emotion	the human condition			A character exhibits a feeling of euphoric but serene happiness.	
blond ditziness	152	female stereotype	society			A pretty, young, blonde woman is acting silly to the extent that the sexist stereotype is apparent.	Gary Seven’s secretary, Roberta Lincoln, epitomized the ditzy blonde stereotype in tos2x26 "Assignment: Earth".
bluffing	153	one-on-one interaction	the human condition			A character insinuates they will do something that they in fact cannot or will not do, thereby deceiving someone else.	
booby trap	154	the art of war	the pursuit of knowledge			The use of concealed deadly devices, such as land mines, to gain advantage in warfare is featured.	The Enterprise-D fell afoul of a leftover booby trap from some ancient alien war in tng3x06 "Booby Trap". It filled much the same function as a naval mine, but in space.
boredom	155	unpleasant emotion	the human condition	ennui, disgust, loathing	Plutchik-emotion	Someone feels compelled to give attention to something or someone for which they have contempt or disinterest, but do not feel "disgust" over.	Reading the 20th century novel "Hotel Royale" bored Captain Picard nearly to death in tng2x12 "The Royale".
botanical plague	156	force majeure existential risk	alternate reality			A biological agent or pathogen wipes out a significant amount of plant-life on a planet and the dependent civilization collapses.	Captain Kirk had to pick up zenite consignment in order to stop such a plague on Merak II in tos3x19 "The Cloud Minders".
brain disembodiment technology	157	human enhancement	alternate reality			Technology by which a brain can be taken out of the body and maintained in a functioning state for an extended amount of time.	The Morg of Sigma Draconis VI used such technology to steal Spock’s big and sexy brain in tos3x06 "Spock's Brain".
brains vs. brawn	158	the art of war	the pursuit of knowledge			A clever person is pitted against a physically powerful opponent in a fight and we wonder which of these qualities is more important for victory.	Captain Kirk was pitted in an epic battle of agility and brains vs. brawn against a Gorn captain in tos1x19 "The Arena".
breaking with tradition vs. suicide	159	life choice	the human condition			A character must decide what is more important to them: their own life or tradition.	Dr. Timicin was expected according to Kaelonian culture to commit suicide at the age of 65 in tng4x22 "Half a Life" and he had second thoughts before he caved to peer pressure.
brinkmanship	160	the art of war	the pursuit of knowledge			A tense military or political confrontation is brought beyond its safe limits for the dangerous purpose of gaining an advantage when the opponent, it is hoped, backs down first.	
brother and brother	161	familial relations	the human condition			The relationship between two brothers is featured.	
brother and sister	162	familial relations	the human condition			The relationship between brother and sister is featured.	Serova and her brother Rabal fought loyally together to stop warp-speeding space ships from polluting the subspace near Hekaras II in tng7x09 "Force of Nature".
bullying	163	contemporary social issue	society		juvenile	The ramifications of bullying in society are explored.	
bureaucracy	164	contemporary social issue	society			The ramifications of excessive bureaucracy, too much paperwork and red tape, to society are explored.	The Gideoneans tried in vain to use bureaucratic tricks to stop Spock from finding Captain Kirk in tos3x17 "The Mark of Gideon".
calligraphy	165	the fine arts and the humanities	the pursuit of knowledge			Decorative hadwriting is featured.	Keiko O'Brien fondly recalled having helped her grandmother to create Japanese calligraphic writings in tng5x12 "Violations".
can machines have souls	166	metaphysics	the pursuit of knowledge		AI	The question is posed: Can a machine have that immaterial immortal component that believers call "the soul"?	
canine alien	167	earth-life inspired life form	alternate reality		aliens	An alien race patterned after dogs.	Natasha Yar was appalled to learn that the dog-like Anticans like to eat their food alive in tng1x07 "Lonely Among Us".
capital punishment	168	past and present moral controversy	society		crime and punishment	We are asked how and when, if ever, it is acceptable to punish a criminal by death.	
captain and crew's attachment to their ship	169	human need	the human condition			The human tendency to form strong bonds to ships we are in command of or serve on for some time, is illustrated.	
carpe diem	170	way of life	the human condition			The wisdom of the old motto "seize the day" is illustrated, i.e., the idea that it is best for us to make the most of our time right away for who knows what tomorrow may bring.	
